Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born December 21 1965 in Oxon Hill Maryland.","antonym","Predicted Relationship: entailment with 99.65% confidence."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","Total US casualties 345 lost further estimated to be 192.","RD","Predicted Relationship: contradiction with 97.10% confidence."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","There were 28 overwhed US casualties in total but 345 people were killed and further 192 estimated to have been killed by Vietnam.","hypernym","Predicted Relationship: entailment with 97.62% confidence."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","There were total US casualties of 28 but 345 were killed and further 192 estimated to be lost by Vietnam.","polarity_negation","Predicted Relationship: entailment with 99.62% confidence."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","There were total US casualties of 28 but the Vietnamese lost 345 people and further 192 are estimated to have been killed.","RS","Predicted Relationship: entailment with 99.82% confidence."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","There were total US casualties of 28 but the Vietnamese lost 345 people and further estimates are 192.","antonym","Predicted Relationship: entailment with 99.74% confidence."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In CA members of the Institute of Sri Lanka Accountants can only use the title of Sri Lanka's charter accountant.","RD","Predicted Relationship: entailment with 80.17% confidence."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In CA members of the Institute of Sri Lanka Accountants may solely use the title of Sri Lanka's charter accountant.","hypernym","Predicted Relationship: entailment with 98.11% confidence."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In CA members of the Non-Sri Lankan Accounting Institute can only use the title of a charter accountant for Sri Lanka.","polarity_negation","Predicted Relationship: contradiction with 79.72% confidence."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In accounting members of the Institute of Sri Lanka Accountants can only use the title of Sri Lanka Charter Person (CA).","RS","Predicted Relationship: neutral with 51.89% confidence."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In CA members of the Institute of Sri Lanka Accountants can only use the title of charter accountant for Sri Lanka.","antonym","Predicted Relationship: entailment with 90.36% confidence."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Simyo belongs to the Dutch telecommunications group after the october 14 acquisition of the remainder of E-Plus.","RD","Predicted Relationship: contradiction with 86.74% confidence."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Simyo belongs to the Dutch telecommunications group KPN after the remainder of E-Plus was acquired on March 14.","hypernym","Predicted Relationship: entailment with 99.78% confidence."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Simyo does not belong to the Dutch telecommunications group KPN after the remainder of E-Plus was acquired on March 14.","polarity_negation","Predicted Relationship: contradiction with 95.83% confidence."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","E-Plus belongs to the Dutch telecommunications group KPN after the 3rd of March acquisition of the remainder of Simyo.","RS","Predicted Relationship: contradiction with 96.09% confidence."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Simyo belongs to the Dutch telecommunications group KPN after the remainder of E-Plus was lost on March 14.","antonym","Predicted Relationship: contradiction with 94.31% confidence."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joseph Soule Zimmerman serve as commissioners for Hampshire County with the exception of Kuykendall.","RD","Predicted Relationship: entailment with 89.87% confidence."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joseph Soule Zimmerman serve as chancery commissioners for Hampshire County with the exception of Kuykendall.","hypernym","Predicted Relationship: entailment with 95.53% confidence."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","With the exception of Kuykendall Robert White and not Joseph Soule Zimmerman serve as chancery commissioners for Hampshire County.","polarity_negation","Predicted Relationship: contradiction with 92.98% confidence."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joseph Soule are the two commissioners for Hampshire County with the exception of Kuykendall.","RS","Predicted Relationship: entailment with 73.33% confidence."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joseph Soule Zimmerman serve as chancery commissioners for Hampshire County including Kuykendall.","antonym","Predicted Relationship: entailment with 95.44% confidence."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views are often expressed when protestants puritans and other religious groups emerge.","RD","Predicted Relationship: entailment with 90.81% confidence."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views are often expressed when protestants puritans and evangelicals go forth.","hypernym","Predicted Relationship: entailment with 98.52% confidence."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views are often expressed when protestants puritans and evangelicals emerge.","polarity_negation","Predicted Relationship: entailment with 99.30% confidence."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The evangelical view is often expressed when protestants puritans and these groups emerge.","RS","Predicted Relationship: entailment with 93.13% confidence."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views are rarely expressed when protestants puritans and evangelicals emerge.","antonym","Predicted Relationship: contradiction with 98.08% confidence."
"The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .","Feyenoord Rotterdam won the 1973-1973 UEFA Cup with Tottenham Hotspur 4-2.","RD","Predicted Relationship: entailment with 97.61% confidence."
"The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .","Feyenoord Rotterdam won the 1973-1974 UEFA Cup with Tottenham Hotspur 4-2.","hypernym","Predicted Relationship: entailment with 99.63% confidence."
